SrNo,River,District,TotalDrains,TotalDischargeMLD,TappedDrains,TappedDischargeMLD,UntappedDrains,UntappedDischargeMLD,PartialTappedDrains,PartialTappedDischargeMLD,NotToBeTappedDrains,NotToBeTappedDischargeMLD
1,Aami,Sant Kabeer Nagar,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
2,Aligarh  Drain ( Irrigation ),Aligarh,8,145.40,0,0.00,2,136.89,0,0.00,6,8.51
3,Assi,Varanasi,1,78.00,0,0.00,0,0.00,1,78.00,0,0.00
4,Betwa,Hamirpur,2,2.80,0,0.00,2,2.80,0,0.00,0,0.00
4,Betwa,Lalitpur,1,20.00,0,0.00,1,20.00,0,0.00,0,0.00
5,DEVRANIYA,Bareilly,1,0.87,1,0.87,0,0.00,0,0.00,0,0.00
6,Ganga,Bijnor,3,26.05,2,11.05,0,0.00,0,0.00,1,15.00
6,Ganga,Bulandshahr,3,5.06,3,5.06,0,0.00,0,0.00,0,0.00
6,Ganga,PrayagRaj,48,167.70,26,96.60,19,49.80,1,20.08,2,1.22
6,Ganga,Farrukhabad,8,47.72,7,39.72,0,0.00,0,0.00,1,8.00
6,Ganga,Hapur,2,7.50,2,7.50,0,0.00,0,0.00,0,0.00
6,Ganga,Kannauj,4,20.00,3,14.00,1,6.00,0,0.00,0,0.00
6,Ganga,Kanpur Nagar,27,188.45,17,176.55,9,11.90,0,0.00,1,0.00
6,Ganga,Mirzapur,49,33.92,18,19.26,4,8.13,0,0.00,27,6.53
6,Ganga,Unnao,8,23.32,5,15.92,3,7.40,0,0.00,0,0.00
6,Ganga,Varanasi,28,73.73,26,66.23,1,2.50,1,5.00,0,0.00
6,Ganga,Ghazipur,34,35.88,0,0.00,11,9.71,0,0.00,23,26.17
6,Ganga,Rae Bareli,9,2.12,0,0.00,9,2.12,0,0.00,0,0.00
6,Ganga,Chandauli,2,29.33,0,0.00,2,29.33,0,0.00,0,0.00
6,Ganga,Pratapgarh,5,1.59,0,0.00,5,1.59,0,0.00,0,0.00
6,Ganga,Amroha,1,4.50,0,0.00,0,0.00,0,0.00,1,4.50
6,Ganga,Ballia,1,12.10,0,0.00,1,12.10,0,0.00,0,0.00
6,Ganga,Kaushambi,2,0.50,0,0.00,2,0.50,0,0.00,0,0.00
7,Ghaghara,Ambedkar Nagar,8,11.68,0,0.00,8,11.68,0,0.00,0,0.00
7,Ghaghara,Mau,5,2.21,0,0.00,5,2.21,0,0.00,0,0.00
8,Ghaghra,Gorakhpur,7,3.57,0,0.00,7,3.57,0,0.00,0,0.00
8,Ghaghra,Deoria,13,3.83,0,0.00,13,3.83,0,0.00,0,0.00
9,Gomti,Barabanki,1,18.00,0,0.00,1,18.00,0,0.00,0,0.00
9,Gomti,Sultanpur,6,14.57,5,13.94,0,0.00,0,0.00,1,0.63
9,Gomti,Amethi,1,5.00,0,0.00,0,0.00,0,0.00,1,5.00
9,Gomti,Pilibhit,4,100.00,1,20.00,1,30.00,1,40.00,1,10.00
9,Gomti,Lucknow,33,550.98,10,49.72,7,51.56,15,449.70,1,0.00
9,Gomti,Jaunpur,14,23.44,13,22.99,0,0.00,1,0.45,0,0.00
10,Harnandi (Hindon),Ghaziabad,8,306.49,1,186.00,7,120.49,0,0.00,0,0.00
10,Harnandi (Hindon),Muzaffarnagar,3,7.40,3,7.40,0,0.00,0,0.00,0,0.00
10,Harnandi (Hindon),Baghpat,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
10,Harnandi (Hindon),Meerut,2,2.46,0,0.00,0,0.00,0,0.00,2,2.46
10,Harnandi (Hindon),Saharanpur,105,114.68,38,30.25,61,67.39,0,0.00,6,17.04
10,Harnandi (Hindon),Gautam Buddha Nagar,2,28.00,0,0.00,2,28.00,0,0.00,0,0.00
11,Ishan,Etah,1,4.00,1,4.00,0,0.00,0,0.00,0,0.00
12,kaali Nadi,Kasganj,3,13.53,2,12.76,0,0.00,0,0.00,1,0.77
13,Kali,Hapur,1,6.00,0,0.00,1,6.00,0,0.00,0,0.00
13,Kali,Meerut,3,307.22,0,0.00,2,155.22,1,152.00,0,0.00
13,Kali,Bulandshahr,17,59.99,0,0.00,3,30.91,0,0.00,14,29.08
13,Kali,Ghaziabad,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
14,Kali West,Saharanpur,4,15.65,0,0.00,4,15.65,0,0.00,0,0.00
14,Kali West,Muzaffarnagar,10,73.84,7,51.09,0,0.00,0,0.00,3,22.75
15,Karvan,Hathras,10,16.32,0,0.00,10,16.32,0,0.00,0,0.00
16,Ken,Banda,1,10.44,0,0.00,1,10.44,0,0.00,0,0.00
17,Kosi Arterial Channel,Mathura,15,8.27,0,0.00,15,8.27,0,0.00,0,0.00
18,Krishni,Shamli,12,35.72,0,0.00,10,32.87,0,0.00,2,2.85
19,Mandakini,Chitrakoot,16,0.00,0,0.00,16,0.00,0,0.00,0,0.00
20,Morwa,Sant Ravidas Nagar,2,4.15,0,0.00,1,3.40,0,0.00,1,0.75
21,NA,Mahoba,6,9.04,0,0.00,6,9.04,0,0.00,0,0.00
22,NAKTIA RIVER,Bareilly,13,41.23,11,41.21,0,0.00,0,0.00,2,0.02
23,Pahunch,Jhansi,10,42.00,9,39.00,1,3.00,0,0.00,0,0.00
24,Pandu,Kanpur Nagar,9,98.42,4,31.31,3,9.16,2,57.95,0,0.00
25,Ram ganga,Moradabad,24,97.97,7,9.25,10,58.09,7,30.63,0,0.00
25,Ram ganga,Rampur,3,33.39,3,33.39,0,0.00,0,0.00,0,0.00
25,Ram ganga,Bareilly,1,18.82,1,18.82,0,0.00,0,0.00,0,0.00
26,Ramgarhtal,Gorakhpur,24,47.82,24,47.82,0,0.00,0,0.00,0,0.00
27,Rapti,Gorakhpur,9,49.96,0,0.00,9,49.96,0,0.00,0,0.00
28,Rohini,Gorakhpur,6,27.00,0,0.00,6,27.00,0,0.00,0,0.00
29,Sai,Rae Bareli,7,32.80,0,0.00,7,32.80,0,0.00,0,0.00
29,Sai,Lucknow,1,54.78,0,0.00,1,54.78,0,0.00,0,0.00
29,Sai,Hardoi,1,1.08,0,0.00,0,0.00,0,0.00,1,1.08
29,Sai,Pratapgarh,4,7.10,4,7.10,0,0.00,0,0.00,0,0.00
30,Sarayan,Lakhimpur Kheri,5,6.68,0,0.00,5,6.68,0,0.00,0,0.00
30,Sarayan,Sitapur,21,12.72,0,0.00,21,12.72,0,0.00,0,0.00
31,Saryu,Ayodhya,21,30.87,13,26.29,8,4.58,0,0.00,0,0.00
32,Sone,Sonbhadra,2,3.40,0,0.00,2,3.40,0,0.00,0,0.00
33,Tamsa,Mau,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
33,Tamsa,Azamgarh,22,22.46,0,0.00,22,22.46,0,0.00,0,0.00
33,Tamsa,Ambedkar Nagar,6,19.41,0,0.00,6,19.41,0,0.00,0,0.00
34,ULL RIVER,Lakhimpur Kheri,3,8.00,0,0.00,3,8.00,0,0.00,0,0.00
35,Varuna,Sant Ravidas Nagar,2,11.50,0,0.00,2,11.50,0,0.00,0,0.00
35,Varuna,Varanasi,43,226.80,18,106.33,24,109.53,1,10.94,0,0.00
36,Yamuna,Baghpat,4,8.60,4,8.60,0,0.00,0,0.00,0,0.00
36,Yamuna,Mathura,38,81.58,30,40.26,7,14.83,1,26.49,0,0.00
36,Yamuna,Agra,90,286.85,21,61.25,61,18.32,8,207.28,0,0.00
36,Yamuna,Firozabad,2,54.26,2,54.26,0,0.00,0,0.00,0,0.00
36,Yamuna,PrayagRaj,33,125.90,28,123.50,2,2.23,0,0.00,3,0.17
36,Yamuna,Etawah,2,30.99,2,30.99,0,0.00,0,0.00,0,0.00
36,Yamuna,Jalaun,1,11.00,0,0.00,1,11.00,0,0.00,0,0.00
36,Yamuna,Shamli,1,12.00,1,12.00,0,0.00,0,0.00,0,0.00
36,Yamuna,Ghaziabad,2,52.00,0,0.00,2,52.00,0,0.00,0,0.00
36,Yamuna,Chitrakoot,1,5.00,0,0.00,1,5.00,0,0.00,0,0.00
36,Yamuna,Hamirpur,1,1.40,0,0.00,1,1.40,0,0.00,0,0.00
36,Yamuna,Auraiya,2,16.46,0,0.00,2,16.46,0,0.00,0,0.00
